dataset_id,display_name,api,scope,current_state,target_state,dimensions_or_endpoint,required_filters,window_strategy,page_contract,availability,phase,notes
video_deep_locations,Video Deep Dive Playback Locations,Analytics targeted,selected_video,missing,add,"insightPlaybackLocationType","video==ID",query_each_window,"standard analytics paging",channel,4,"Reuse playback location report definition"
video_deep_embeds,Video Deep Dive Embedded Players,Analytics targeted,selected_video,missing,add,"insightPlaybackLocationDetail","video==ID; insightPlaybackLocationType==EMBEDDED",query_each_window,"maxResults=25; sort required",channel,4,"Lazy tab and controller"
video_deep_traffic,Video Deep Dive Traffic,Analytics targeted,selected_video,missing,add,"insightTrafficSourceType/Detail","video==ID",query_each_window,"detail maxResults=25; sort required",channel,4,"Only capability-proven detail sources"
video_deep_device_os_product,Video Deep Dive Device OS Product,Analytics targeted,selected_video,missing,add,"deviceType,operatingSystem,youtubeProduct","video==ID",query_each_window,"standard analytics paging",channel,4,"Use validated dimension combinations"
video_deep_geography,Video Deep Dive Geography,Analytics targeted,selected_video,missing,add,"country or province","video==ID; country==US for province",query_each_window,"standard analytics paging",channel,4,"Respect anonymization and missing rows"
video_deep_retention,Video Deep Dive Retention,Analytics targeted,selected_video,stable,reuse,"elapsedVideoTimeRatio","video==ID",query_each_window,"retention curve",channel,4,"Reuse existing retention dataset; never auto-run"
content_owner_uploader,Uploader Type and Claimed Status,Analytics targeted,content_owner,missing,add_gated,"uploaderType filter","content owner ID; supported uploaderType+claimedStatus",query_each_window,"standard analytics paging",content_owner_only,5,"Never expose or run for ordinary channel accounts"
content_owner_campaign_card,Campaign Card Traffic,Analytics targeted,content_owner,disabled,add_gated,"insightTrafficSourceDetail","content owner ID; CAMPAIGN_CARD",query_each_window,"maxResults=25; sort required",content_owner_only,5,"Separate CMS storage and manifests"
reporting_channel_basic,Channel Bulk Daily Facts,Reporting API,channel,missing,add_later,"channel_basic_a3","reporting job",bulk_daily,"download completed report",channel,6,"Do not mix with targeted interactive queue"
reporting_reach_basic,Channel Reach,Reporting API,channel,missing,add_later,"channel_reach_basic_a1","reporting job",bulk_daily,"download completed report",channel,6,"Thumbnail impressions and CTR for packaging"
reporting_reach_combined,Channel Reach Combined,Reporting API,channel,missing,add_later,"channel_reach_combined_a1","reporting job",bulk_daily,"download completed report",channel,6,"Fine-grained reach dimensions with provenance"
