category_name,canonical_key,kind,source_system,scope,api_name_camel,api_name_snake,where_documented,received_now,evidence_of_receipt,how_to_receive_if_missing,constraints
Casual Viewers,casualViewers,metric,youtube_analytics_api,channel,casualViewers,casual_viewers,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.channelAnalytics rows,,channel-level only
City,city,dimension,youtube_analytics_api,geo,city,city_id,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md,no,not observed in current cache buckets,query dimensions=city and maintain city-id lookup mapping,heavy privacy suppression
Claim ID,claim_id,field,youtube_reporting_api,monetization,,claim_id,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/YouTube API Data Reporting Overview.pdf,no,not ingested in current ViewTube sync,create/reporting jobs endpoint + daily CSV ingest + warehouse parser,reporting API job required; content-owner contexts
Claim Status,claim_status,field,youtube_reporting_api,monetization,,claim_status,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/YouTube API Data Reporting Overview.pdf,no,not ingested in current ViewTube sync,ingest system-managed financial CSV reports,reporting API financial report only
Claim Type,claim_type,field,youtube_reporting_api,monetization,,claim_type,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/YouTube API Data Reporting Overview.pdf,no,not ingested in current ViewTube sync,ingest system-managed financial CSV reports,reporting API financial report only
Claimed Status,claimedStatus,dimension,youtube_analytics_api,monetization,claimedStatus,claimed_status,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query content-owner style reports where supported,often content-owner context
Comments,comments,metric,youtube_analytics_api,video_shared,comments,comments,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.stats + master rows,,
Uploads Playlist ID,contentDetails.relatedPlaylists.uploads,field,youtube_data_api_v3,channel,contentDetails.relatedPlaylists.uploads,,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.profile.contentDetails.relatedPlaylists.uploads,,
Continent,continent,dimension,youtube_analytics_api,geo,continent,continent_code,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md,no,not observed in current cache buckets,query reports with dimensions=continent and supported metric sets,may be omitted by API/report variant
Country,country,dimension,youtube_analytics_api,geo,country,country_code,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.demographics/geo breakdown,,privacy-threshold omissions
CPM,cpm,metric,youtube_analytics_api,monetization,cpm,cpm,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/VIDEO_TYPE_AND_DATA_ANALYSIS_REPORT.md,partial,partially present/derived in current pipeline,query cpm directly and retain derivation fallback,requires monetization scope
Creator Content Type,creatorContentType,dimension,youtube_analytics_api,video_shared,creatorContentType,creator_content_type,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,partial,current fetchVideoContentType attempts return 400 in logs; fallback to duration/format heuristics,"query views by dimensions=video,creatorContentType OR use creatorContentType-only reports + join by video id where possible",dimension compatibility is limited; API may reject certain combinations
Device Type,deviceType,dimension,youtube_analytics_api,device,deviceType,device_type,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query reports with dimensions=deviceType,additional row explosion and privacy thresholds
Dislikes,dislikes,metric,youtube_analytics_api,video_shared,dislikes,dislikes,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,partial,documented in references; may be sparse/deprecated in current pipeline outputs,request metric where available and retain nullable handling,"public UI hidden since 2021, creator-access may vary"
Elapsed Video Time Ratio,elapsedVideoTimeRatio,dimension,youtube_analytics_api,retention,elapsedVideoTimeRatio,,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,add retention endpoint pass with dimensions=elapsedVideoTimeRatio,only meaningful for long-form retention
End Screen Click Rate,endScreenClickRate,metric,youtube_analytics_api,long_only,endScreenClickRate,,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,derived in canonical metric registry,derive from clicks/impressions if raw missing,long-form feature only
End Screen Element Clicks,endScreenElementClicks,metric,youtube_analytics_api,long_only,endScreenElementClicks,end_screen_element_clicks,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,partial,used for derived endScreenClickRate; not always present in current rows,add explicit metric collection and fallback derivation,long-form feature only
End Screen Element Impressions,endScreenElementImpressions,metric,youtube_analytics_api,long_only,endScreenElementImpressions,end_screen_element_impressions,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,canonical metric in app contract (endScreenClickRate computed from impressions+clicks where available),ensure explicit ingestion in analytics query group,long-form feature only
Engaged Views,engagedViews,metric,youtube_analytics_api,video_shared,engagedViews,engaged_views,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.analyticsByWindow + master rows,,
Auction Ad Revenue,estimated_partner_ad_auction_revenue,field,youtube_reporting_api,monetization,,estimated_partner_ad_auction_revenue,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/YouTube API Data Reporting Overview.pdf,no,not ingested in current ViewTube sync,ingest reporting financial datasets,reporting API only
Reserved Ad Revenue,estimated_partner_ad_reserved_revenue,field,youtube_reporting_api,monetization,,estimated_partner_ad_reserved_revenue,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/YouTube API Data Reporting Overview.pdf,no,not ingested in current ViewTube sync,ingest reporting financial datasets,reporting API only
Transaction Revenue,estimated_partner_transaction_revenue,field,youtube_reporting_api,monetization,,estimated_partner_transaction_revenue,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/YouTube API Data Reporting Overview.pdf,no,not ingested in current ViewTube sync,ingest reporting financial datasets,reporting API only
Estimated Ad Revenue,estimatedAdRevenue,metric,youtube_analytics_api,monetization,estimatedAdRevenue,estimated_partner_ad_revenue,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,partial,documented but not guaranteed in all current windows/rows,request metric with monetary scope and nullable handling,requires monetization scope and eligible channel
Watch Time Minutes,estimatedMinutesWatched,metric,youtube_analytics_api,video_shared,estimatedMinutesWatched,watch_time_minutes,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.analyticsByWindow + master rows,,
Estimated Premium Revenue,estimatedRedPartnerRevenue,metric,youtube_analytics_api,monetization,estimatedRedPartnerRevenue,estimated_partner_red_revenue,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,partial,documented; may be sparse by format/window,query with monetary scope; include fallback nulls,requires monetization scope
Estimated Revenue,estimatedRevenue,metric,youtube_analytics_api,monetization,estimatedRevenue,estimated_partner_revenue,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.analyticsByWindow + merged rows,,requires yt-analytics-monetary.readonly
GA4 Avg Session Duration,ga4.averageSessionDuration,metric,ga4,channel,,,docs/Youtube API + Data/DATA_FLOW_COMPREHENSIVE_REPORT.md; docs/Youtube API + Data/analytics_ecosystem_spec.md,yes,ga4_analytics_cache.overview,,
GA4 Conversions,ga4.conversions,metric,ga4,traffic,,,docs/Youtube API + Data/DATA_FLOW_COMPREHENSIVE_REPORT.md; docs/Youtube API + Data/analytics_ecosystem_spec.md,yes,ga4_analytics_cache.conversions,,
GA4 Age Groups,ga4.demographics.ageGroups,dimension,ga4,demographic,,,docs/Youtube API + Data/DATA_FLOW_COMPREHENSIVE_REPORT.md; docs/Youtube API + Data/analytics_ecosystem_spec.md,yes,ga4_analytics_cache.demographics.ageGroups,,
GA4 Cities,ga4.demographics.cities,dimension,ga4,geo,,,docs/Youtube API + Data/DATA_FLOW_COMPREHENSIVE_REPORT.md; docs/Youtube API + Data/analytics_ecosystem_spec.md,yes,ga4_analytics_cache.demographics.cities,,
GA4 Countries,ga4.demographics.countries,dimension,ga4,geo,,,docs/Youtube API + Data/DATA_FLOW_COMPREHENSIVE_REPORT.md; docs/Youtube API + Data/analytics_ecosystem_spec.md,yes,ga4_analytics_cache.demographics.countries,,
GA4 Engaged Sessions,ga4.engagedSessions,metric,ga4,channel,,,docs/Youtube API + Data/DATA_FLOW_COMPREHENSIVE_REPORT.md; docs/Youtube API + Data/analytics_ecosystem_spec.md,yes,ga4_analytics_cache.overview,,
GA4 Sessions,ga4.sessions,metric,ga4,channel,,,docs/Youtube API + Data/DATA_FLOW_COMPREHENSIVE_REPORT.md; docs/Youtube API + Data/analytics_ecosystem_spec.md,yes,ga4_analytics_cache.overview,,
GA4 Top Pages,ga4.topPages,dimension,ga4,traffic,,,docs/Youtube API + Data/DATA_FLOW_COMPREHENSIVE_REPORT.md; docs/Youtube API + Data/analytics_ecosystem_spec.md,yes,ga4_analytics_cache.topPages,,
GA4 Traffic Source,ga4.trafficSources,dimension,ga4,traffic,,,docs/Youtube API + Data/DATA_FLOW_COMPREHENSIVE_REPORT.md; docs/Youtube API + Data/analytics_ecosystem_spec.md,yes,ga4_analytics_cache.trafficSources,,
GA4 Users,ga4.users,metric,ga4,channel,,,docs/Youtube API + Data/DATA_FLOW_COMPREHENSIVE_REPORT.md; docs/Youtube API + Data/analytics_ecosystem_spec.md,yes,ga4_analytics_cache.overview,,depends on GA4 property linkage
Gender,gender,dimension,youtube_analytics_api,demographic,gender,gender,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.demographics rows,,privacy-threshold omissions
Gross Revenue,grossRevenue,metric,youtube_analytics_api,monetization,grossRevenue,gross_revenue,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,partial,documented; not consistently surfaced in current master rows,add explicit metric group for grossRevenue,requires monetization scope
Channel ID,id,field,youtube_data_api_v3,channel,id,,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.profile.id,,
Insight Playback Location Detail,insightPlaybackLocationDetail,dimension,youtube_analytics_api,device,insightPlaybackLocationDetail,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query insight dimensions where still supported,legacy/compatibility risk
Insight Playback Location Type,insightPlaybackLocationType,dimension,youtube_analytics_api,device,insightPlaybackLocationType,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query insight dimensions where still supported,legacy/compatibility risk
Insight Traffic Source Detail,insightTrafficSourceDetail,dimension,youtube_analytics_api,traffic,insightTrafficSourceDetail,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query insight dimensions where still supported,legacy/compatibility risk
Insight Traffic Source Type,insightTrafficSourceType,dimension,youtube_analytics_api,traffic,insightTrafficSourceType,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query insight dimensions where still supported,legacy/compatibility risk
Likes,likes,metric,youtube_analytics_api,video_shared,likes,likes,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.stats + master rows,,
Live or On Demand,liveOrOnDemand,dimension,youtube_analytics_api,video_shared,liveOrOnDemand,live_or_on_demand,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query reports with dimensions=liveOrOnDemand,
Membership Cancellation Survey Responses,membershipsCancellationSurveyResponses,metric,youtube_analytics_api,channel,membershipsCancellationSurveyResponses,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query channel-level membership metrics where supported,channel membership eligibility required
Monetized Playbacks,monetizedPlaybacks,metric,youtube_analytics_api,monetization,monetizedPlaybacks,monetized_playbacks,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,partial,documented but not always populated in current output,add explicit query + nullable fallback,requires monetization scope
New Viewers,newViewers,metric,youtube_analytics_api,channel,newViewers,new_viewers,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.channelAnalytics rows,,channel-level only
Operating System,operatingSystem,dimension,youtube_analytics_api,device,operatingSystem,operating_system,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query reports with dimensions=operatingSystem,support depends on report context
Partner Revenue,partner_revenue,field,youtube_reporting_api,monetization,,partner_revenue,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/YouTube API Data Reporting Overview.pdf,no,not ingested in current ViewTube sync,ingest system-managed financial CSV reports,reporting API financial report only
Peak Concurrent Viewers,peakConcurrentViewers,metric,youtube_analytics_api,long_only,peakConcurrentViewers,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query live stream metric set,live-only availability
Playback Based CPM,playbackBasedCpm,metric,youtube_analytics_api,monetization,playbackBasedCpm,playback_based_cpm,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,partial,documented but not always in active rows,request metric in monetization group,requires monetization scope
Playback Location Detail,playbackLocationDetail,dimension,youtube_analytics_api,device,playbackLocationDetail,playback_location_detail,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query reports with dimensions=playbackLocationDetail,detail mostly available for embedded contexts
Playback Location Type,playbackLocationType,dimension,youtube_analytics_api,device,playbackLocationType,playback_location_type,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query reports with dimensions=playbackLocationType,
Playlist Dimension,playlist,dimension,youtube_analytics_api,video_shared,playlist,playlist_id,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query dimensions=playlist for playlist-focused reports,
Playlist Average View Duration,playlistAverageViewDuration,metric,youtube_analytics_api,video_shared,playlistAverageViewDuration,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query playlist report family,playlist context only
Playlist Estimated Minutes Watched,playlistEstimatedMinutesWatched,metric,youtube_analytics_api,video_shared,playlistEstimatedMinutesWatched,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query playlist report family,playlist context only
Playlist Saves Added,playlistSavesAdded,metric,youtube_analytics_api,video_shared,playlistSaves,playlist_saves_added,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query playlist metric set and split added/removed,playlist context only
Playlist Saves Removed,playlistSavesRemoved,metric,youtube_analytics_api,video_shared,playlistSaves,playlist_saves_removed,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query playlist metric set and split added/removed,playlist context only
Playlist Starts,playlistStarts,metric,youtube_analytics_api,video_shared,playlistStarts,playlist_starts,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query playlist report family,playlist context only
Playlist Views,playlistViews,metric,youtube_analytics_api,video_shared,playlistViews,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query reports with playlist dimensions and metric playlistViews,playlist dimension required
Province,province,dimension,youtube_analytics_api,geo,province,province_code,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query reports with dimensions=province and geo-eligible metrics,privacy thresholds can suppress
Regular Viewers,regularViewers,metric,youtube_analytics_api,channel,regularViewers,regular_viewers,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.channelAnalytics rows,,channel-level only
Relative Retention Performance,relativeRetentionPerformance,metric,youtube_analytics_api,long_only,relativeRetentionPerformance,relative_retention_performance,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query with elapsedVideoTimeRatio for long-form,retention-only context
Returning Viewers,returningViewers,metric,youtube_analytics_api,channel,returningViewers,returning_viewers,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.channelAnalytics rows,,channel-level only
